County Code,District Code,Subgroup ID,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
1,61119,80,3,2,201.0,193.0,2468.2,35.75,31.61,67.36,21.24,11.4,193.0
1,61119,80,4,2,238.0,230.0,2510.1,35.22,31.3,66.52,20.87,12.61,230.0
1,61119,80,4,1,238.0,229.0,2509.4,47.6,21.4,69.0,14.85,16.16,229.0
1,61119,80,5,2,246.0,242.0,2549.6,35.95,28.1,64.05,23.14,12.81,242.0
1,61119,80,5,1,246.0,240.0,2557.7,41.25,35.83,77.08,13.75,9.17,240.0
1,61119,80,6,1,178.0,175.0,2593.6,44.57,35.43,80.0,12.0,8.0,175.0
1,61119,80,6,2,178.0,176.0,2583.9,40.91,28.98,69.89,20.45,9.66,176.0
1,61119,80,7,1,181.0,176.0,2604.4,35.23,40.91,76.14,13.64,10.23,176.0
1,61119,80,7,2,181.0,176.0,2583.0,36.93,22.73,59.66,23.3,17.05,176.0
1,61119,80,8,2,145.0,139.0,2624.3,44.6,23.02,67.63,23.74,8.63,139.0
1,61119,80,8,1,145.0,139.0,2627.1,31.65,46.76,78.42,16.55,5.04,139.0
1,61119,80,11,2,195.0,182.0,2639.9,27.47,29.12,56.59,21.43,21.98,182.0
1,61119,80,11,1,195.0,181.0,2655.5,49.17,27.62,76.8,10.5,12.71,181.0
1,61119,144,3,2,109.0,107.0,2471.0,37.38,31.78,69.16,14.02,16.82,107.0
1,61119,144,3,1,109.0,107.0,2456.0,42.99,19.63,62.62,14.95,22.43,107.0
1,61119,144,4,1,102.0,100.0,2506.5,45.0,26.0,71.0,10.0,19.0,100.0
1,61119,144,4,2,102.0,100.0,2511.9,33.0,35.0,68.0,25.0,7.0,100.0
1,61119,144,5,1,83.0,81.0,2564.0,46.91,25.93,72.84,17.28,9.88,81.0
1,61119,144,5,2,83.0,81.0,2564.8,48.15,20.99,69.14,18.52,12.35,81.0
1,61119,144,6,2,75.0,75.0,2559.6,33.33,25.33,58.67,26.67,14.67,75.0
1,61119,144,6,1,75.0,75.0,2565.9,40.0,28.0,68.0,17.33,14.67,75.0
1,61119,144,7,1,47.0,46.0,2605.0,32.61,45.65,78.26,13.04,8.7,46.0
1,61119,144,7,2,47.0,46.0,2598.1,43.48,23.91,67.39,17.39,15.22,46.0
1,61119,144,8,2,28.0,25.0,2568.2,20.0,28.0,48.0,28.0,24.0,25.0
1,61119,144,8,1,28.0,25.0,2585.8,24.0,40.0,64.0,16.0,20.0,25.0
1,61119,144,11,1,36.0,36.0,2638.7,41.67,33.33,75.0,8.33,16.67,36.0
1,61119,144,11,2,36.0,36.0,2596.7,11.11,25.0,36.11,36.11,27.78,36.0
1,61127,78,3,1,41.0,39.0,2454.1,35.9,25.64,61.54,23.08,15.38,39.0
1,61127,78,3,2,41.0,39.0,2458.7,33.33,25.64,58.97,25.64,15.38,39.0
1,61127,78,4,1,45.0,44.0,2502.4,25.0,43.18,68.18,15.91,15.91,44.0
1,61127,78,4,2,45.0,44.0,2498.7,22.73,36.36,59.09,29.55,11.36,44.0
1,61127,78,5,1,51.0,50.0,2532.3,36.0,34.0,70.0,12.0,18.0,50.0
1,61127,78,5,2,51.0,51.0,2523.8,33.33,21.57,54.9,25.49,19.61,51.0
1,61127,78,6,2,60.0,60.0,2543.7,23.33,25.0,48.33,33.33,18.33,60.0
1,61127,78,6,1,60.0,57.0,2547.6,22.81,33.33,56.14,26.32,17.54,57.0
1,61127,78,7,1,48.0,46.0,2601.2,26.09,52.17,78.26,17.39,4.35,46.0
1,61127,78,7,2,48.0,46.0,2588.9,23.91,43.48,67.39,21.74,10.87,46.0
1,61127,78,8,2,37.0,33.0,2594.8,39.39,24.24,63.64,15.15,21.21,33.0
1,61127,78,8,1,37.0,34.0,2607.6,17.65,50.0,67.65,23.53,8.82,34.0
1,61127,78,11,1,49.0,41.0,2598.0,19.51,43.9,63.41,19.51,17.07,41.0
1,61127,78,11,2,49.0,41.0,2604.4,14.63,36.59,51.22,21.95,26.83,41.0
1,61127,80,3,2,110.0,110.0,2495.8,46.36,31.82,78.18,17.27,4.55,110.0
1,61127,80,3,1,110.0,109.0,2498.3,59.63,24.77,84.4,10.09,5.5,109.0
1,61127,80,4,2,97.0,93.0,2544.4,49.46,29.03,78.49,19.35,2.15,93.0
1,61127,80,4,1,97.0,94.0,2540.8,57.45,28.72,86.17,4.26,9.57,94.0
1,61127,80,5,2,96.0,95.0,2570.7,55.79,21.05,76.84,11.58,11.58,95.0
1,61127,80,5,1,96.0,96.0,2582.6,57.29,28.13,85.42,9.38,5.21,96.0
1,61127,80,6,1,103.0,101.0,2602.9,47.52,34.65,82.18,12.87,4.95,101.0
1,61127,80,6,2,103.0,100.0,2590.0,46.0,30.0,76.0,15.0,9.0,100.0
1,61127,80,7,1,132.0,130.0,2635.5,45.38,42.31,87.69,10.77,1.54,130.0
1,61127,80,7,2,132.0,130.0,2632.1,52.31,31.54,83.85,13.08,3.08,130.0
1,61127,80,8,1,124.0,119.0,2637.7,41.18,38.66,79.83,12.61,7.56,119.0
1,61127,80,8,2,124.0,118.0,2647.4,58.47,17.8,76.27,11.86,11.86,118.0
1,61127,80,11,1,112.0,96.0,2698.6,65.63,21.88,87.5,9.38,3.13,96.0
1,61127,80,11,2,112.0,92.0,2715.1,51.09,34.78,85.87,7.61,6.52,92.0
1,61127,144,3,2,38.0,37.0,2475.4,45.95,32.43,78.38,10.81,10.81,37.0
