Agency Name,State Name [District] Latest available year,Grade 10 Students - American Indian/Alaska Native [District] 2016-17,Grade 10 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 10 Students - Hispanic [District] 2016-17,Grade 10 Students - Black [District] 2016-17,Grade 10 Students - White [District] 2016-17,Grade 10 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 10 Students - Two or More Races [District] 2016-17,Grade 11 Students - American Indian/Alaska Native [District] 2016-17,Grade 11 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 11 Students - Hispanic [District] 2016-17,Grade 11 Students - Black [District] 2016-17,Grade 11 Students - White [District] 2016-17,Grade 11 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 11 Students - Two or More Races [District] 2016-17,Grade 12 Students - American Indian/Alaska Native [District] 2016-17,Grade 12 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 12 Students - Hispanic [District] 2016-17,Grade 12 Students - Black [District] 2016-17,Grade 12 Students - White [District] 2016-17,Grade 12 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 12 Students - Two or More Races [District] 2016-17
SHASTA-TRINITY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHASTA-TRINITY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SHILOH ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SHORELINE UNIFIED,California,–,1,24,–,13,1,–,1,–,21,–,9,–,1,–,–,25,1,14,–,–
SIERRA COUNTY OFFICE OF EDUCATION,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA SANDS UNIFIED,California,5,19,98,31,231,3,3,7,17,91,21,222,6,8,5,19,72,24,223,4,6
SIERRA UNIFIED,California,21,–,18,–,69,–,–,19,4,13,2,99,–,–,13,2,16,2,89,–,2
SIERRA-PLUMAS JOINT UNIFIED,California,–,–,2,–,22,–,1,–,–,4,–,23,–,1,–,–,6,–,19,–,–
SILICON VALLEY JOINT POWERS TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SILVER FORK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SILVER VALLEY UNIFIED,California,2,5,35,13,48,6,10,–,6,41,18,35,2,6,–,4,32,16,42,2,3
SIMI VALLEY UNIFIED,California,5,130,500,15,696,2,58,9,152,465,17,788,–,53,2,138,460,18,754,3,55
SISKIYOU COUNTY OFFICE OF EDUCATION,California,6,1,9,–,38,–,3,4,–,5,1,33,–,6,3,–,7,–,39,–,7
SISKIYOU ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SISKIYOU UNION HIGH,California,8,4,33,6,87,–,8,12,3,24,2,82,1,18,8,8,20,3,100,4,8
SNELLING-MERCED FALLS UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SNOWLINE JOINT UNIFIED,California,3,17,274,35,260,3,23,1,21,250,28,239,3,25,3,17,249,43,238,3,31
SOLANA BEACH ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOLANO COUNTY OFFICE OF EDUCATION,California,–,1,13,1,11,1,4,1,2,22,16,12,–,3,–,2,17,15,9,1,2
SOLEDAD UNIFIED,California,1,6,371,1,6,1,2,1,5,341,3,13,–,1,1,5,321,–,10,2,1
SOLVANG ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOMIS UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SONOMA COUNTY OFFICE OF EDUCATION,California,5,–,21,3,12,–,–,3,2,31,5,27,–,1,1,1,40,2,14,1,1
SONOMA COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONOMA VALLEY UNIFIED,California,–,10,185,4,144,1,3,–,8,219,3,121,–,3,–,10,158,2,132,1,4
SONORA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SONORA UNION HIGH,California,1,4,67,2,198,–,17,5,5,43,3,196,1,9,9,6,52,3,180,3,6
SOQUEL UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOULSBYVILLE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTH BAY UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTH BAY UNION ELEMENTARY,California,–,–,6,–,23,–,9,3,–,5,–,35,–,7,3,1,6,–,30,–,6
SOUTH COUNTY SUPPORT SERVICES AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTH FORK UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTH MONTEREY COUNTY JOINT UNION HIGH,California,3,4,541,1,29,–,5,1,5,491,2,26,–,5,1,2,459,2,36,–,3
SOUTH PASADENA UNIFIED,California,1,153,107,9,101,1,23,4,152,91,10,127,–,21,2,161,82,10,85,–,15
SOUTH SAN FRANCISCO UNIFIED,California,1,254,336,11,53,11,37,2,259,336,11,51,12,49,–,301,319,9,44,17,49
SOUTH WHITTIER ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHEAST ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTHEAST ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN CALIFORNIA ROC,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTHERN CALIFORNIA ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN HUMBOLDT JOINT UNIFIED,California,–,1,8,1,45,–,1,1,–,6,2,33,–,3,1,3,8,–,24,–,–
SOUTHERN KERN UNIFIED,California,2,6,115,36,73,1,5,2,3,128,14,75,1,8,6,3,126,26,75,–,4
SOUTHERN PLACER SCHOOLS TRANSPORTATION AUTHORITY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHERN TRINITY JOINT UNIFIED,California,–,–,1,–,11,–,1,–,–,–,–,1,–,–,1,–,–,–,7,–,–
SOUTHSIDE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTHWEST TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SPENCER VALLEY ELEMENTARY,California,5,10,85,23,135,2,25,3,15,82,17,124,–,26,3,16,108,27,139,–,36
SPRECKELS UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SPRINGVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
STANDARD ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
STANISLAUS COUNTY OFFICE OF EDUCATION,California,2,2,96,4,48,2,4,4,4,113,12,62,–,8,8,21,426,42,187,5,27
STANISLAUS UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
STOCKTON UNIFIED,California,73,398,1755,322,158,21,29,77,398,1595,297,177,14,27,69,422,1552,275,153,11,29
STONE CORRAL ELEMENTARY,California,–,3,155,6,46,1,5,3,6,136,1,36,–,8,1,1,25,1,13,–,3
STONY CREEK JOINT UNIFIED,California,3,–,–,–,4,–,–,1,–,–,–,3,–,–,2,–,1,–,2,–,1
STRATHMORE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SULPHUR SPRINGS UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SUMMERVILLE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SUMMERVILLE UNION HIGH,California,3,1,25,1,134,–,11,20,2,39,5,187,1,4,8,4,20,3,128,–,3
SUNDALE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SUNNYSIDE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SUNNYVALE,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SUNOL GLEN UNIFIED,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SURPRISE VALLEY JOINT UNIFIED,California,1,–,1,–,3,–,–,1,–,–,–,3,–,–,2,–,3,–,3,–,–
SUSANVILLE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SUTTER COUNTY OFFICE OF EDUCATION,California,1,1,18,1,21,–,1,–,2,21,1,19,–,3,2,7,39,4,40,–,6
SUTTER UNION HIGH,California,3,6,53,2,135,–,9,8,4,50,1,114,–,15,5,5,42,1,125,–,13
SWEETWATER UNION HIGH,California,18,687,5437,182,379,18,321,19,704,5549,183,413,21,325,9,666,6128,202,424,31,361
SYLVAN UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TAFT CITY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TAFT UNION HIGH,California,4,2,109,1,117,1,6,6,1,98,2,133,5,5,4,–,117,3,147,1,6
TAHOE-TRUCKEE UNIFIED,California,–,–,111,1,185,–,5,1,1,109,1,147,–,9,3,1,106,2,164,–,9
TAMALPAIS UNION HIGH,California,6,86,143,32,888,6,79,5,77,125,31,826,4,63,2,78,113,26,801,5,62
TEHACHAPI UNIFIED,California,1,6,97,6,198,–,2,2,7,117,3,213,–,3,2,5,93,13,224,–,6
TEHAMA COUNTY DEPARTMENT OF EDUCATION,California,–,–,6,–,16,–,–,–,–,5,1,21,–,2,–,–,8,–,14,–,2
TEHAMA COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMECULA VALLEY UNIFIED,California,14,210,807,81,1019,7,247,14,248,823,105,1096,2,248,17,216,816,104,1076,9,252
TEMPLE CITY UNIFIED,California,2,340,105,2,51,–,14,1,391,91,3,46,1,14,–,381,119,5,51,–,7
TEMPLETON UNIFIED,California,2,6,40,–,144,–,10,1,4,39,1,158,1,14,2,5,37,3,143,–,5
TERRA BELLA UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
THERMALITO UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
THREE RIVERS UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TIPTON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TORRANCE UNIFIED,California,4,669,627,80,473,8,163,7,668,592,95,469,14,169,4,722,617,99,516,10,172
TRACY JOINT UNIFIED,California,4,263,747,93,399,12,54,6,298,721,121,385,12,57,10,307,656,116,417,10,63
TRAVER JOINT ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRAVIS UNIFIED,California,4,67,111,76,136,7,36,2,90,100,66,166,4,29,1,76,106,46,128,8,38
TRES PINOS UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRI-CITIES ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRI-CITIES ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRI-COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRI-VALLEY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRI-VALLEY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRINIDAD UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRINITY ALPS UNIFIED,California,7,2,3,–,76,–,10,10,3,10,1,60,–,11,2,1,8,1,57,–,12
TRINITY CENTER ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRINITY COUNTY OFFICE OF EDUCATION,California,1,–,1,2,5,–,–,1,–,–,1,13,–,1,5,1,17,5,27,–,1
TRONA JOINT UNIFIED,California,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
TULARE CITY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TULARE COUNTY OFFICE OF EDUCATION,California,2,5,144,4,59,–,7,1,5,161,6,70,–,3,–,6,152,6,68,1,1
TULARE JOINT UNION HIGH,California,10,25,1024,41,292,–,13,7,15,1035,42,252,4,15,12,25,901,49,242,3,10
TULELAKE BASIN JOINT UNIFIED,California,–,–,21,–,13,–,–,–,–,26,–,9,–,2,–,–,26,–,10,–,–
TUOLUMNE COUNTY SUPERINTENDENT OF SCHOOLS,California,–,–,2,–,7,–,–,1,–,3,–,9,–,1,–,–,1,–,6,–,2
TURLOCK UNIFIED,California,6,71,659,30,417,4,28,8,78,637,24,411,15,26,17,71,640,35,434,5,27
TUSTIN UNIFIED,California,2,404,986,37,615,5,58,5,389,844,31,581,6,43,6,351,948,47,561,11,38
TWAIN HARTE,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TWIN HILLS UNION ELEMENTARY,California,–,–,9,1,15,–,1,–,–,1,1,24,–,3,–,–,5,–,21,–,3
TWIN RIDGES ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TWIN RIVERS UNIFIED,California,18,207,838,292,554,42,84,14,229,889,314,569,36,71,19,244,1170,545,680,38,109
TWO ROCK UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UKIAH UNIFIED,California,21,10,241,9,246,–,11,26,9,237,6,202,–,6,36,11,204,6,215,–,10
UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UNION HILL ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UNION JOINT ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UPLAND UNIFIED,California,4,58,491,93,213,7,12,5,66,462,73,190,5,23,10,67,494,87,227,2,17
UPPER LAKE UNIFIED,CALIFORNIA,7,1,21,1,49,–,9,8,1,23,1,43,–,6,5,–,20,–,32,–,5
UPPER LAKE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UPPER LAKE UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VACAVILLE UNIFIED,California,11,69,365,97,501,13,75,11,62,343,73,516,8,67,7,70,278,67,442,6,44
VAL VERDE UNIFIED,California,7,42,1141,264,83,7,21,5,38,1161,253,57,7,29,5,36,1068,307,69,9,14
VALLE LINDO ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VALLECITO UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VALLECITOS ELEMENTARY,California,–,1,8,–,6,1,–,2,1,33,1,18,1,–,1,–,22,1,12,–,–
VALLEJO CITY UNIFIED,California,5,218,369,264,66,19,26,4,217,384,304,77,24,29,4,208,353,266,58,16,17
VALLEY CENTER-PAUMA UNIFIED,California,39,6,152,1,117,2,5,22,14,153,4,115,1,12,34,8,148,–,124,1,4
VALLEY HOME JOINT ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VALLEY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALLEY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VENTURA COUNTY OFFICE OF EDUCATION,California,4,5,272,6,89,–,8,3,3,247,9,95,–,7,2,1,173,3,80,–,15
VENTURA COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VENTURA COUNTY SCHOOLS BUSINESS SERVICES JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VENTURA UNIFIED,California,6,48,661,18,591,3,44,7,38,690,21,624,8,43,11,47,611,19,577,1,46
VICTOR ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VICTOR VALLEY UNION HIGH,California,29,68,1567,508,389,14,184,33,81,1476,422,394,18,145,27,62,1384,466,422,16,115
VINELAND ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VISALIA UNIFIED,California,30,135,1422,36,554,5,63,21,114,1341,43,550,–,47,31,111,1332,35,544,3,35
VISTA DEL MAR UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VISTA UNIFIED,California,7,85,1113,34,544,16,74,8,112,1160,71,517,17,77,18,97,1809,280,620,28,123
WALNUT CREEK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WALNUT VALLEY UNIFIED,California,1,938,324,41,117,5,34,1,979,331,34,145,9,21,–,924,309,27,137,7,18
WARNER UNIFIED,California,9,3,24,4,44,–,6,17,1,23,–,42,–,8,14,2,45,6,46,–,6
WASCO UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WASCO UNION HIGH,California,1,1,498,9,23,–,2,–,1,394,9,32,–,1,–,–,375,6,29,1,1
WASHINGTON COLONY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WASHINGTON UNIFIED,California,9,83,273,32,181,5,18,6,69,242,33,203,15,12,11,76,210,42,152,7,6
WASHINGTON UNIFIED,California,4,22,253,17,23,–,10,36,18,190,23,26,–,4,1,30,280,39,39,–,1
WASHINGTON UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WATERFORD UNIFIED,California,4,18,161,6,127,1,12,2,8,142,3,139,2,25,4,6,150,3,129,–,16
WAUGH ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WAUKENA JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEAVER UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEED UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEST CONTRA COSTA UNIFIED,California,3,381,1277,396,203,21,27,5,418,1240,421,197,8,53,3,402,1177,472,190,18,32
WEST COUNTY TRANSPORTATION JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEST COVINA UNIFIED,California,2,127,730,70,146,1,29,2,173,689,77,143,3,26,6,153,746,72,149,5,39
WEST PARK ELEMENTARY,California,–,–,28,2,2,–,2,1,–,49,1,9,–,–,2,–,57,5,6,–,2
WEST SIDE ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST SIDE ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEST SIDE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEST SONOMA COUNTY UNION HIGH,California,4,17,91,9,328,1,9,1,13,110,1,330,2,9,5,19,90,8,375,–,18
WEST VALLEY SCHOOLS TRANSPORTATION AGENCY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WESTERN PLACER UNIFIED,California,7,26,172,21,408,6,26,10,42,169,14,429,4,25,7,42,217,26,453,1,35
WESTMINSTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WESTMORLAND UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WESTSIDE ELEMENTARY,California,3,8,139,17,60,–,14,2,5,105,13,58,–,10,2,3,44,1,20,–,3
WESTSIDE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
