Agency Name,State Name [District] Latest available year,Grade 10 Students - American Indian/Alaska Native [District] 2016-17,Grade 10 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 10 Students - Hispanic [District] 2016-17,Grade 10 Students - Black [District] 2016-17,Grade 10 Students - White [District] 2016-17,Grade 10 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 10 Students - Two or More Races [District] 2016-17,Grade 11 Students - American Indian/Alaska Native [District] 2016-17,Grade 11 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 11 Students - Hispanic [District] 2016-17,Grade 11 Students - Black [District] 2016-17,Grade 11 Students - White [District] 2016-17,Grade 11 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 11 Students - Two or More Races [District] 2016-17,Grade 12 Students - American Indian/Alaska Native [District] 2016-17,Grade 12 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 12 Students - Hispanic [District] 2016-17,Grade 12 Students - Black [District] 2016-17,Grade 12 Students - White [District] 2016-17,Grade 12 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 12 Students - Two or More Races [District] 2016-17
WESTWOOD UNIFIED,California,–,–,3,–,18,–,4,–,1,7,1,21,–,2,5,1,13,–,48,–,5
WHEATLAND,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WHEATLAND UNION HIGH,California,2,5,56,7,94,1,26,1,6,51,5,84,–,11,3,2,52,6,77,1,18
WHITMORE UNION ELEMENTARY,California,–,–,1,–,17,–,–,1,–,1,–,11,1,3,–,–,3,–,10,–,–
WHITTIER CITY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WHITTIER UNION HIGH,California,9,54,2540,27,269,5,12,2,73,2798,26,263,2,16,7,59,2732,30,247,5,7
WILLIAM (R) ROUSE ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILLIAM S. HART UNION HIGH,California,16,493,2035,293,1807,5,277,14,467,1978,240,1833,10,281,19,481,1812,208,1837,6,272
WILLIAMS UNIFIED,California,–,1,78,1,7,–,–,–,–,95,–,3,–,–,1,2,95,1,5,–,–
WILLITS UNIFIED,California,9,1,30,–,65,1,6,8,1,39,1,87,1,8,10,3,45,2,87,–,11
WILLOW CREEK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WILLOW GROVE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WILLOWS UNIFIED,California,5,5,56,1,49,1,2,2,3,52,1,54,–,2,–,9,52,–,53,2,2
WILMAR UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WILSONA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WINDSOR UNIFIED,California,4,11,194,4,209,6,5,4,4,193,7,213,2,4,8,14,205,5,239,–,6
WINSHIP-ROBBINS,California,–,–,4,–,17,–,2,–,–,5,–,13,–,3,–,–,–,–,13,–,1
WINTERS JOINT UNIFIED,California,–,1,77,4,36,–,–,1,5,81,2,41,–,1,–,1,85,–,30,–,3
WINTON,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WISEBURN UNIFIED,CALIFORNIA,–,18,210,45,53,2,18,–,13,165,65,49,2,25,1,22,209,64,66,1,19
WOODLAKE UNIFIED,California,–,2,145,–,20,–,–,–,–,138,1,17,–,–,–,2,158,2,19,–,–
WOODLAND JOINT UNIFIED,California,2,46,527,10,155,4,14,3,49,500,6,180,1,14,3,40,446,8,206,–,13
WOODSIDE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WOODVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WRIGHT ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
YOLO COUNTY OFFICE OF EDUCATION,California,–,–,30,–,12,1,1,–,–,50,1,5,1,1,–,1,26,4,4,–,–
YOLO COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOSEMITE ROP,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOSEMITE UNIFIED,California,10,7,36,–,154,–,13,7,2,45,2,157,–,17,1,2,36,–,153,–,15
YREKA UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
YREKA UNION HIGH,California,4,3,28,1,114,–,11,13,3,19,2,91,–,19,7,2,29,1,107,–,12
YUBA CITY UNIFIED,California,8,212,433,22,255,5,59,10,205,396,26,262,4,41,8,196,390,16,274,6,57
YUBA COUNTY OFFICE OF EDUCATION,California,3,–,27,4,33,–,9,6,1,24,6,41,–,8,2,3,50,4,64,2,13
YUCAIPA-CALIMESA JOINT UNIFIED,California,5,12,297,13,396,1,10,5,27,291,11,427,1,4,3,18,288,14,410,3,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""Local Education Agency (School District) Universe Survey"" 2016-17 v.2a  2018-19 v.1a.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
† indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
– indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
‡ indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
