Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
LAFAYETTE ELEMENTARY,California,1,35,39,5,271,–,45,–,44,26,4,332,–,23,–,60,25,3,302,–,24,†,†,†,†,†,†,†
LAGUNA BEACH UNIFIED,California,3,18,28,5,202,1,21,–,18,30,1,192,1,10,–,18,16,5,188,–,9,1,9,30,5,224,–,8
LAGUNA JOINT ELEMENTARY,California,="0",="0",="0",="0",="0",="0",="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
LAGUNITA ELEMENTARY,California,–,–,3,–,7,–,–,–,–,6,–,7,–,1,–,–,3,–,4,–,–,†,†,†,†,†,†,†
LAGUNITAS ELEMENTARY,California,–,1,4,–,23,2,1,–,1,7,–,25,–,–,–,–,7,–,27,1,–,†,†,†,†,†,†,†
LAKE COUNTY OFFICE OF EDUCATION,California,–,–,–,–,1,–,–,1,–,–,–,–,–,–,–,–,1,–,1,–,1,1,–,1,–,1,–,–
LAKE COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
LAKE ELEMENTARY,California,–,–,7,–,13,–,–,–,–,6,–,8,–,–,–,–,2,–,14,–,–,†,†,†,†,†,†,†
LAKE ELSINORE UNIFIED,California,3,63,1025,61,463,5,96,3,60,1043,77,508,3,79,5,54,993,69,494,5,74,6,63,944,74,447,3,95
LAKE TAHOE UNIFIED,California,1,15,151,–,135,–,8,–,17,128,3,148,–,5,1,13,118,1,136,1,8,3,19,99,3,141,–,9
LAKEPORT UNIFIED,California,6,2,49,1,65,–,3,13,2,37,5,56,1,2,13,5,35,3,64,–,2,11,2,25,1,58,–,11
LAKESIDE JOINT,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
LAKESIDE UNION,California,2,6,90,11,44,2,8,2,11,89,15,42,3,2,1,8,96,12,42,1,2,†,†,†,†,†,†,†
LAKESIDE UNION ELEMENTARY,California,–,1,22,2,1,–,3,–,5,27,2,–,–,–,–,2,36,2,1,–,2,†,†,†,†,†,†,†
LAKESIDE UNION ELEMENTARY,California,7,18,186,22,353,2,35,6,18,170,23,349,3,20,12,22,164,11,336,1,12,1,7,21,6,47,–,3
LAMMERSVILLE JOINT UNIFIED,California,5,175,65,18,93,2,28,1,175,57,24,74,2,18,–,134,62,27,80,2,20,2,132,62,29,74,3,21
LAMONT ELEMENTARY,California,–,–,322,–,7,–,1,–,1,313,1,1,1,–,–,–,271,1,6,–,1,†,†,†,†,†,†,†
LANCASTER ELEMENTARY,California,6,33,819,496,177,2,68,2,56,858,489,217,3,38,8,47,798,473,215,–,38,†,†,†,†,†,†,†
LARKSPUR-CORTE MADERA,California,–,3,25,1,129,–,17,–,10,19,1,120,1,24,–,5,24,2,96,–,36,†,†,†,†,†,†,†
LAS LOMITAS ELEMENTARY,California,–,18,22,3,86,2,30,–,16,18,6,99,–,29,–,17,23,–,78,1,21,†,†,†,†,†,†,†
LAS VIRGENES UNIFIED,California,7,72,91,21,690,–,33,5,66,77,20,738,1,22,5,83,94,25,707,1,34,4,58,106,23,786,4,27
LASSEN COUNTY OFFICE OF EDUCATION,California,–,–,–,–,1,–,–,–,–,–,–,1,–,–,–,–,–,–,2,–,–,–,–,–,1,–,–,–
LASSEN ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
LASSEN UNION HIGH,California,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",14,8,35,4,144,4,1
LASSEN VIEW UNION ELEMENTARY,California,–,–,8,–,24,–,–,1,–,11,1,23,–,–,1,–,4,–,23,–,–,†,†,†,†,†,†,†
LATON JOINT UNIFIED,California,–,–,40,–,11,–,7,–,–,38,–,7,–,3,–,–,46,1,3,–,3,–,–,39,1,4,–,2
LATROBE,California,–,–,2,–,13,–,1,–,–,6,–,14,–,1,–,–,2,–,17,–,2,†,†,†,†,†,†,†
